Question,Intent,Response
"After submitting my online internship application, do I need to take any other action to ensure that my application is reviewed by the specific department(s) that I am interested in?",Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
can I apply If I require work authorization?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
can I apply to multiple internship positions?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
can I submit more than one application?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
can I update my application from last year?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Do  I need relevant experience to apply?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Do employers come on campus to recruit for summer employment?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Do I apply on SEI's website,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Do I have to register and pay to do an internship?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Do I send my resume and cover letter to a concerned person in the department I am interested in,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Do I send my resume and cover letter to HR,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
how can I get more information on the application process?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
how do I apply for coop internship,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
How do I apply for graduate internships,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
how do I apply for undergraduate internships,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
how do I begin with my application?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
How do I enroll in an internship?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
How do I find a summer internship locally?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
How do I get started?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
How do I start the application process for  Internship?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
HOW EARLY SHOULD I START APPLYING,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
how much time does it take to apply?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
how to check the description of the internship program?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
how to check the requirements for the application process?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
how to check whether I qualify for the internship program?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
I am interested in applying for a internship at SEI. How do I apply,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
I am interested in submitting an internship application but I graduated a few months ago; am I still eligible to apply?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
I am not currently enrolled in a degree programme; can I still apply for an internship?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
"I am undertaking an online Masters degree, is that acceptable?",Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
I missed the deadline. Can I still apply?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
"I would like to apply for an internship but note that the application period has closed, can I still apply?",Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
is there a deadline for the application?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Is there a online application to be completed,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
is there any link for the application?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
should I apply for the internship on the SEI careers website?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Should I apply on my school's career site?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
What are the deadlines for applying to the program?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
what documentation do you need for the application?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
what does the application process looks like?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
What is the application procedure?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
What is the application process like?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
What should I do if I applied on my school's website but never heard anything?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
what do I do if no one from SEI got back to me after I applied,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
when should I apply?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Where can I find the link to apply?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Where do I submit an application for the internship?,Application,You must submit an application on SEI's Job Site in order to be considered for the Summer Internship Program. You can find information how to apply and more information on the program at www.seic.com/students.
Are there only finance jobs available?,Available Positions,"The internship program combines roles across most of our Business Units and Corporate Service Teams. We have opportunities in finance, accounting, marketing, sales, solutions, operations, audit, risk management, technology and more."
Do you have any accouting jobs available?,Available Positions,"The internship program combines roles across most of our Business Units and Corporate Service Teams. We have opportunities in finance, accounting, marketing, sales, solutions, operations, audit, risk management, technology and more."
"I'm a marketing major, should I apply for this internship?",Available Positions,"The internship program combines roles across most of our Business Units and Corporate Service Teams. We have opportunities in finance, accounting, marketing, sales, solutions, operations, audit, risk management, technology and more."
What roles do you have available?,Available Positions,"The internship program combines roles across most of our Business Units and Corporate Service Teams. We have opportunities in finance, accounting, marketing, sales, solutions, operations, audit, risk management, technology and more."
WHAT TYPES OF ROLES ARE AVAILABLE THROUGH INTERNSHIPS,Available Positions,"The internship program combines roles across most of our Business Units and Corporate Service Teams. We have opportunities in finance, accounting, marketing, sales, solutions, operations, audit, risk management, technology and more."
Can I expect to be paid?,compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Can I negotiate how much I am paid?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Do interns get paid?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Does SEI pay its interns?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
How are interns paid?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
How does compensation work?,compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
How does SEI compensate its interns?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
How does the compensation compare to industry standard?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
How much will I be paid?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Is payment hourly or salary,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Is payment negotiable?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Is the internship paid?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Is there a compensation plan for interns?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Is this a paid internship?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
What is the hourly rate for interns?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
What salary can I expect?,compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
What wage do interns receive,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Will I be a salaried employee?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
Will I be paid?,Compensation ,All position in the program are paid a hourly rate. The program offers a competitive compensation package. 
 Is there parking available?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
 Whom will I report to?,Contact Information,Please visit https://seic.com/careers/career-opportunities-for-students/internships
whom will I work with ,Contact Information,Please visit https://seic.com/careers/career-opportunities-for-students/internships
are the travelling expenses covered,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
ARE THERE INTERNSHIP CONTRACTS?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Are vacation days and sick days included in the compensation?,Contact Information,Please visit https://seic.com/careers/career-opportunities-for-students/internships
Can  students from out of the country participate?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
CAN I APPLY FOR MORE THAN ONE internship POSITION WITHIN THE COMPANY?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Can I contact someone for more details about the internship?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
CAN I DO A PART-TIME INTERNSHIP?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
can I extend my internship duration,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Can I get academic credit for my internship?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Can I receive more than three hours of credit?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
"Can I take more than one internship at a time, and is there a limit on how many I can take?",Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Can my univerity's career services tell me more about the position?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Can you tell me any more information about the program?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Can you tell me the best contact info for the internship?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Do interns get vacation or sick time?,Contact Information,Please visit https://seic.com/careers/career-opportunities-for-students/internships
DO STUDENTS EVER GET HIRED AFTER COMPLETING THEIR PROGRAMS,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Do you accept international students?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Do you know the status of my application?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Does SEI sponsor foreign nationals?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
How do I check the status of the my application?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
How do I find out how the status of my application?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
How do I get more information about the internship?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
How does my lunch break work?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
How many hours can I work as a student?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
I am an international student. DO I NEED WORK AUTHORIZATION?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
"If I wanted more information, how would I go about getting it?",Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
"If I’m not selected, can I reapply?",Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Is an intern entitled to leaves?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Is further information available about the program?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
is the commute facility available,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Is there a place to ask for further information?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Is there a way to find out my application status?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Is there a way to see the status of my application?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Is there an email address for specifics?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Is there anything else I should know?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Is there someone I can talk to about my application status?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
is transport provided,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Should I contact my career services with questions?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
What are the opportunities for full-time employment following graduation,Contact Information,Please visit https://seic.com/careers/career-opportunities-for-students/internships
What if my question isn't answered here?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
What is the email address if I want to know details?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
What is your contact information?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Where can I ask questions about the position?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Where do I get info about the program?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Where is your contact info?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Where will I find more information about the position?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Who can I ask about the internship?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Who do I email if I have questions regarding the internship?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Who do I talk to about the specifics of the internship?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Who is the best person to talk to for more information?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Who should I contact for more information?,contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Who should I contact with questions regarding the program?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Who should I email with questions about my application?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Who will I work for?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Who would I call to discuss the program?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Will I receive a certificate at the end of my internship,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Will my internship be graded?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Will my school's career services know more about the position?,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Will travel expenses to and from my hometwon to intenship location be reimbursed by SEI,Contact Information,Please contact the College Recruitment Team at students@seic.com for all questions regarding the Summer Internship Program. 
Do I need to be at the  Office full-time?,day,"There is no typical day at SEI, especially since interns are placed into various roles. Most days will be spent working on projects both individually and with your team members. These projects may range from summer-long assignments to projects that will impact your team in the longterm. Interns will also spend their time working on the case study project, attending developmental seminars and completing the business book project."
What does the typical work schedule look like? ,day,"There is no typical day at SEI, especially since interns are placed into various roles. Most days will be spent working on projects both individually and with your team members. These projects may range from summer-long assignments to projects that will impact your team in the longterm. Interns will also spend their time working on the case study project, attending developmental seminars and completing the business book project."
What is a typical day like for an intern?,day,"There is no typical day at SEI, especially since interns are placed into various roles. Most days will be spent working on projects both individually and with your team members. These projects may range from summer-long assignments to projects that will impact your team in the longterm. Interns will also spend their time working on the case study project, attending developmental seminars and completing the business book project."
What kinds of responsibilities will I have at this internship?,day,"There is no typical day at SEI, especially since interns are placed into various roles. Most days will be spent working on projects both individually and with your team members. These projects may range from summer-long assignments to projects that will impact your team in the longterm. Interns will also spend their time working on the case study project, attending developmental seminars and completing the business book project."
What kinds of tasks do interns handle? ,day,"There is no typical day at SEI, especially since interns are placed into various roles. Most days will be spent working on projects both individually and with your team members. These projects may range from summer-long assignments to projects that will impact your team in the longterm. Interns will also spend their time working on the case study project, attending developmental seminars and completing the business book project."
What will an average day be like?,day,"There is no typical day at SEI, especially since interns are placed into various roles. Most days will be spent working on projects both individually and with your team members. These projects may range from summer-long assignments to projects that will impact your team in the longterm. Interns will also spend their time working on the case study project, attending developmental seminars and completing the business book project."
What will I do as an intern?,day,"There is no typical day at SEI, especially since interns are placed into various roles. Most days will be spent working on projects both individually and with your team members. These projects may range from summer-long assignments to projects that will impact your team in the longterm. Interns will also spend their time working on the case study project, attending developmental seminars and completing the business book project."
Will I be expected to work overtime?,day,"There is no typical day at SEI, especially since interns are placed into various roles. Most days will be spent working on projects both individually and with your team members. These projects may range from summer-long assignments to projects that will impact your team in the longterm. Interns will also spend their time working on the case study project, attending developmental seminars and completing the business book project."
Will I have any interaction with the other SEI interns?,day,"There is no typical day at SEI, especially since interns are placed into various roles. Most days will be spent working on projects both individually and with your team members. These projects may range from summer-long assignments to projects that will impact your team in the longterm. Interns will also spend their time working on the case study project, attending developmental seminars and completing the business book project."
